Utility_Provider,Account_Number,Meter_ID,Tariff_Code,Billing_Period_Start,Billing_Period_End,Invoice_Number,Usage_Value,Unit_Of_Measure,Demand_kW,Total_Amount,Currency,Facility_Code,Data_Quality_Override_Flag,Status
PGE_COMM_ELEC,ACC-9081234,MTR-E001,E19-TOU,2024-01-15,2024-02-13,INV-2024-011,14250.00,kWh,45.20,2850.00,USD,FAC-SF-01,FALSE,FINAL
PGE_COMM_ELEC,ACC-9081234,MTR-E001,E19-TOU,2024-02-14,2024-03-14,INV-2024-032,15100.50,kWh,48.10,3020.10,USD,FAC-SF-01,FALSE,FINAL
PGE_COMM_ELEC,ACC-9081234,MTR-E001,E19-TOU,15-03-2024,2024-04-14,INV-2024-055,13800.00,kWh,42.00,2760.00,USD,FAC-SF-01,FALSE,FINAL
NAT_GRID_NY,ACC-1144778,MTR-NY-89,E-COMM,2024-01-01,2024-01-31,INV-990112,42.50,MWh,110.00,8500.00,USD,FAC-NY-02,FALSE,FINAL
NAT_GRID_NY,ACC-1144778,MTR-NY-89,E-COMM,2024-02-01,2024-02-29,INV-998431,39.80,MWh,105.00,7960.00,USD,FAC-NY-02,FALSE,FINAL
NAT_GRID_NY,ACC-1144778,MTR-NY-89,E-COMM,2024-03-01,2024-03-31,INV-100234,-5.00,MWh,0.00,-1000.00,USD,FAC-NY-02,FALSE,FINAL
EON_DE_GMBH,ACC-DE-4411,MTR-BER-01,GEW-COM,2024-01-01,2024-01-31,RE-77112,8500.00,kWh,28.50,1955.00,EUR,FAC-BER-03,FALSE,FINAL
EON_DE_GMBH,ACC-DE-4411,MTR-BER-01,GEW-COM,2024-02-01,2024-02-29,RE-77984,8200.00,kWh,27.00,1886.00,EUR,FAC-BER-03,FALSE,FINAL
EON_DE_GMBH,ACC-DE-4411,MTR-BER-01,GEW-COM,2024-03-01,2024-03-31,RE-77112,8500.00,kWh,28.50,1955.00,EUR,FAC-BER-03,FALSE,FINAL
PGE_COMM_ELEC,ACC-9081234,MTR-E001,E19-TOU,2024-04-15,2024-05-14,INV-2024-089,Error_Value,kWh,44.10,2900.00,USD,FAC-SF-01,FALSE,ESTIMATED
PGE_COMM_ELEC,ACC-9081234,MTR-E002,E12-IND,2024-01-15,2024-02-13,INV-2024-012,185000.00,kWh,510.00,22100.00,USD,FAC-SF-01,FALSE,FINAL
PGE_COMM_ELEC,ACC-9081234,MTR-E002,E12-IND,2024-02-14,2024-03-14,INV-2024-033,19200000.00,kWh,540.00,2400000.00,USD,FAC-SF-01,FALSE,FINAL
NAT_GRID_NY,ACC-1144778,MTR-NY-89,E-COMM,2024-04-01,2024-04-30,INV-102451,41.20,MWh,108.00,8240.00,USD,FAC-NY-02,FALSE,FINAL
NAT_GRID_NY,ACC-1144778,MTR-NY-90,E-COMM,2024-01-01,2024-01-31,INV-990115,2100.00,kwh,15.00,420.00,USD,FAC-NY-02,FALSE,FINAL
PGE_COMM_ELEC,ACC-9081234,MTR-E001,E19-TOU,2024-05-15,2024-06-14,INV-2024-112,16200.00,kWh,49.50,3240.00,,FAC-SF-01,FALSE,FINAL
PGE_COMM_ELEC,ACC-9081234,,E19-TOU,2024-06-15,2024-07-14,INV-2024-145,15800.00,kWh,47.00,3160.00,USD,,FALSE,FINAL
NAT_GRID_NY,ACC-1144778,MTR-NY-89,E-COMM,2024-05-01,2024-05-31,INV-105667,45.10,MWh,115.00,9020.00,USD,FAC-NY-02,FALSE,FINAL
EON_DE_GMBH,ACC-DE-4411,MTR-BER-01,GEW-COM,2024-04-01,2024-04-30,RE-79122,8900.00,kWh,30.00,2047.00,EUR,FAC-BER-03,FALSE,FINAL
PGE_COMM_ELEC,ACC-9081234,MTR-E001,E19-TOU,2024-07-15,2024-06-15,INV-2024-190,14900.00,kWh,46.00,2980.00,USD,FAC-SF-01,FALSE,FINAL
NAT_GRID_NY,ACC-1144778,MTR-NY-89,E-COMM,2024-06-01,2024-06-30,INV-109881,43.70,MWh,112.00,8740.00,USD,FAC-NY-02,FALSE,FINAL
